GSSCode,year,crimeRate,borough,monthName
E09000002,7,,Barking and Dagenham,July
E09000003,7,,Barnet,July
E09000004,7,,Bexley,July
E09000005,7,,Brent,July
E09000006,7,,Bromley,July
E09000007,7,,Camden,July
E09000008,7,,Croydon,July
E09000009,7,,Ealing,July
E09000010,7,,Enfield,July
E09000011,7,,Greenwich,July
E09000012,7,,Hackney,July
E09000013,7,,Hammersmith and Fulham,July
E09000014,7,,Haringey,July
E09000015,7,,Harrow,July
E09000016,7,,Havering,July
E09000017,7,,Hillingdon,July
E09000018,7,,Hounslow,July
E09000019,7,,Islington,July
E09000020,7,,Kensington and Chelsea,July
E09000021,7,,Kingston upon Thames,July
E09000022,7,,Lambeth,July
E09000023,7,,Lewisham,July
E09000024,7,,Merton,July
E09000025,7,,Newham,July
E09000026,7,,Redbridge,July
E09000027,7,,Richmond upon Thames,July
E09000028,7,,Southwark,July
E09000029,7,,Sutton,July
E09000030,7,,Tower Hamlets,July
E09000031,7,,Waltham Forest,July
E09000032,7,,Wandsworth,July
E09000033,7,,Westminster,July
E09000002,8,,Barking and Dagenham,August
E09000003,8,,Barnet,August
E09000004,8,,Bexley,August
E09000005,8,,Brent,August
E09000006,8,,Bromley,August
E09000007,8,,Camden,August
E09000008,8,,Croydon,August
E09000009,8,,Ealing,August
E09000010,8,,Enfield,August
E09000011,8,,Greenwich,August
E09000012,8,,Hackney,August
E09000013,8,,Hammersmith and Fulham,August
E09000014,8,,Haringey,August
E09000015,8,,Harrow,August
E09000016,8,,Havering,August
E09000017,8,,Hillingdon,August
E09000018,8,,Hounslow,August
E09000019,8,,Islington,August
E09000020,8,,Kensington and Chelsea,August
E09000021,8,,Kingston upon Thames,August
E09000022,8,,Lambeth,August
E09000023,8,,Lewisham,August
E09000024,8,,Merton,August
E09000025,8,,Newham,August
E09000026,8,,Redbridge,August
E09000027,8,,Richmond upon Thames,August
E09000028,8,,Southwark,August
E09000029,8,,Sutton,August
E09000030,8,,Tower Hamlets,August
E09000031,8,,Waltham Forest,August
E09000032,8,,Wandsworth,August
E09000033,8,,Westminster,August
E09000002,9,,Barking and Dagenham,September
E09000003,9,,Barnet,September
E09000004,9,,Bexley,September
E09000005,9,,Brent,September
E09000006,9,,Bromley,September
E09000007,9,,Camden,September
E09000008,9,,Croydon,September
E09000009,9,,Ealing,September
E09000010,9,,Enfield,September
E09000011,9,,Greenwich,September
E09000012,9,,Hackney,September
E09000013,9,,Hammersmith and Fulham,September
E09000014,9,,Haringey,September
E09000015,9,,Harrow,September
E09000016,9,,Havering,September
E09000017,9,,Hillingdon,September
E09000018,9,,Hounslow,September
E09000019,9,,Islington,September
E09000020,9,,Kensington and Chelsea,September
E09000021,9,,Kingston upon Thames,September
E09000022,9,,Lambeth,September
E09000023,9,,Lewisham,September
E09000024,9,,Merton,September
E09000025,9,,Newham,September
E09000026,9,,Redbridge,September
E09000027,9,,Richmond upon Thames,September
E09000028,9,,Southwark,September
E09000029,9,,Sutton,September
E09000030,9,,Tower Hamlets,September
E09000031,9,,Waltham Forest,September
E09000032,9,,Wandsworth,September
E09000033,9,,Westminster,September
E09000002,10,,Barking and Dagenham,October
E09000003,10,,Barnet,October
E09000004,10,,Bexley,October
E09000005,10,,Brent,October
E09000006,10,,Bromley,October
E09000007,10,,Camden,October
E09000008,10,,Croydon,October
E09000009,10,,Ealing,October
E09000010,10,,Enfield,October
E09000011,10,,Greenwich,October
E09000012,10,,Hackney,October
E09000013,10,,Hammersmith and Fulham,October
E09000014,10,,Haringey,October
E09000015,10,,Harrow,October
E09000016,10,,Havering,October
E09000017,10,,Hillingdon,October
E09000018,10,,Hounslow,October
E09000019,10,,Islington,October
E09000020,10,,Kensington and Chelsea,October
E09000021,10,,Kingston upon Thames,October
E09000022,10,,Lambeth,October
E09000023,10,,Lewisham,October
E09000024,10,,Merton,October
E09000025,10,,Newham,October
E09000026,10,,Redbridge,October
E09000027,10,,Richmond upon Thames,October
E09000028,10,,Southwark,October
E09000029,10,,Sutton,October
E09000030,10,,Tower Hamlets,October
E09000031,10,,Waltham Forest,October
E09000032,10,,Wandsworth,October
E09000033,10,,Westminster,October
E09000002,11,,Barking and Dagenham,November
E09000003,11,,Barnet,November
E09000004,11,,Bexley,November
E09000005,11,,Brent,November
E09000006,11,,Bromley,November
E09000007,11,,Camden,November
E09000008,11,,Croydon,November
E09000009,11,,Ealing,November
E09000010,11,,Enfield,November
E09000011,11,,Greenwich,November
E09000012,11,,Hackney,November
E09000013,11,,Hammersmith and Fulham,November
E09000014,11,,Haringey,November
E09000015,11,,Harrow,November
E09000016,11,,Havering,November
E09000017,11,,Hillingdon,November
E09000018,11,,Hounslow,November
E09000019,11,,Islington,November
E09000020,11,,Kensington and Chelsea,November
E09000021,11,,Kingston upon Thames,November
E09000022,11,,Lambeth,November
E09000023,11,,Lewisham,November
E09000024,11,,Merton,November
E09000025,11,,Newham,November
E09000026,11,,Redbridge,November
