GSSCode,year,crimeRate,borough,monthName
E09000002,1,1692,Barking and Dagenham,January
E09000003,1,2294,Barnet,January
E09000004,1,1281,Bexley,January
E09000005,1,2369,Brent,January
E09000006,1,1976,Bromley,January
E09000007,1,2488,Camden,January
E09000008,1,2834,Croydon,January
E09000009,1,2371,Ealing,January
E09000010,1,2577,Enfield,January
E09000011,1,2288,Greenwich,January
E09000012,1,2649,Hackney,January
E09000013,1,1589,Hammersmith and Fulham,January
E09000014,1,2395,Haringey,January
E09000015,1,1303,Harrow,January
E09000016,1,1510,Havering,January
E09000017,1,1950,Hillingdon,January
E09000018,1,1961,Hounslow,January
E09000019,1,2263,Islington,January
E09000020,1,1707,Kensington and Chelsea,January
E09000021,1,1048,Kingston upon Thames,January
E09000022,1,2673,Lambeth,January
E09000023,1,2255,Lewisham,January
E09000024,1,1069,Merton,January
E09000025,1,3064,Newham,January
E09000026,1,2004,Redbridge,January
E09000027,1,999,Richmond upon Thames,January
E09000028,1,2605,Southwark,January
E09000029,1,1089,Sutton,January
E09000030,1,2791,Tower Hamlets,January
E09000031,1,2002,Waltham Forest,January
E09000032,1,1976,Wandsworth,January
E09000033,1,5301,Westminster,January
E09000002,2,1620,Barking and Dagenham,February
E09000003,2,2173,Barnet,February
E09000004,2,1320,Bexley,February
E09000005,2,2402,Brent,February
E09000006,2,1827,Bromley,February
E09000007,2,2637,Camden,February
E09000008,2,2653,Croydon,February
E09000009,2,2364,Ealing,February
E09000010,2,2367,Enfield,February
E09000011,2,2198,Greenwich,February
E09000012,2,2364,Hackney,February
E09000013,2,1590,Hammersmith and Fulham,February
E09000014,2,2261,Haringey,February
E09000015,2,1241,Harrow,February
E09000016,2,1512,Havering,February
E09000017,2,1826,Hillingdon,February
E09000018,2,1874,Hounslow,February
E09000019,2,2177,Islington,February
E09000020,2,1545,Kensington and Chelsea,February
E09000021,2,940,Kingston upon Thames,February
E09000022,2,2485,Lambeth,February
E09000023,2,2153,Lewisham,February
E09000024,2,1043,Merton,February
E09000025,2,3042,Newham,February
E09000026,2,1945,Redbridge,February
E09000027,2,866,Richmond upon Thames,February
E09000028,2,2514,Southwark,February
E09000029,2,1050,Sutton,February
E09000030,2,2627,Tower Hamlets,February
E09000031,2,1768,Waltham Forest,February
E09000032,2,2043,Wandsworth,February
E09000033,2,5296,Westminster,February
E09000002,3,1753,Barking and Dagenham,March
E09000003,3,2440,Barnet,March
E09000004,3,1413,Bexley,March
E09000005,3,2661,Brent,March
E09000006,3,1980,Bromley,March
E09000007,3,2983,Camden,March
E09000008,3,2897,Croydon,March
E09000009,3,2591,Ealing,March
E09000010,3,2748,Enfield,March
E09000011,3,2535,Greenwich,March
E09000012,3,2653,Hackney,March
E09000013,3,1757,Hammersmith and Fulham,March
E09000014,3,2393,Haringey,March
E09000015,3,1355,Harrow,March
E09000016,3,1677,Havering,March
E09000017,3,2061,Hillingdon,March
E09000018,3,2151,Hounslow,March
E09000019,3,2390,Islington,March
E09000020,3,1732,Kensington and Chelsea,March
E09000021,3,1074,Kingston upon Thames,March
E09000022,3,2852,Lambeth,March
E09000023,3,2530,Lewisham,March
E09000024,3,1204,Merton,March
E09000025,3,3309,Newham,March
E09000026,3,2137,Redbridge,March
E09000027,3,957,Richmond upon Thames,March
E09000028,3,2907,Southwark,March
E09000029,3,1172,Sutton,March
E09000030,3,2997,Tower Hamlets,March
E09000031,3,1932,Waltham Forest,March
E09000032,3,2150,Wandsworth,March
E09000033,3,6040,Westminster,March
E09000002,4,1661,Barking and Dagenham,April
E09000003,4,2180,Barnet,April
E09000004,4,1271,Bexley,April
E09000005,4,2575,Brent,April
E09000006,4,1885,Bromley,April
E09000007,4,2950,Camden,April
E09000008,4,2734,Croydon,April
E09000009,4,2344,Ealing,April
E09000010,4,2386,Enfield,April
E09000011,4,2249,Greenwich,April
E09000012,4,2558,Hackney,April
E09000013,4,1829,Hammersmith and Fulham,April
E09000014,4,2294,Haringey,April
E09000015,4,1215,Harrow,April
E09000016,4,1540,Havering,April
E09000017,4,1842,Hillingdon,April
E09000018,4,2006,Hounslow,April
E09000019,4,2221,Islington,April
E09000020,4,1692,Kensington and Chelsea,April
E09000021,4,1001,Kingston upon Thames,April
E09000022,4,2608,Lambeth,April
E09000023,4,2223,Lewisham,April
E09000024,4,1106,Merton,April
E09000025,4,2915,Newham,April
E09000026,4,1900,Redbridge,April
E09000027,4,987,Richmond upon Thames,April
E09000028,4,2944,Southwark,April
E09000029,4,1026,Sutton,April
E09000030,4,3012,Tower Hamlets,April
E09000031,4,1752,Waltham Forest,April
E09000032,4,1904,Wandsworth,April
E09000033,4,5663,Westminster,April
E09000002,5,1772,Barking and Dagenham,May
E09000003,5,2523,Barnet,May
E09000004,5,1379,Bexley,May
E09000005,5,2669,Brent,May
E09000006,5,1980,Bromley,May
E09000007,5,3115,Camden,May
E09000008,5,3037,Croydon,May
E09000009,5,2707,Ealing,May
E09000010,5,2695,Enfield,May
E09000011,5,2511,Greenwich,May
E09000012,5,3065,Hackney,May
E09000013,5,1793,Hammersmith and Fulham,May
E09000014,5,2547,Haringey,May
E09000015,5,1343,Harrow,May
E09000016,5,1790,Havering,May
E09000017,5,2060,Hillingdon,May
E09000018,5,2286,Hounslow,May
E09000019,5,2502,Islington,May
E09000020,5,1706,Kensington and Chelsea,May
E09000021,5,1121,Kingston upon Thames,May
E09000022,5,2925,Lambeth,May
E09000023,5,2400,Lewisham,May
E09000024,5,1222,Merton,May
E09000025,5,3136,Newham,May
E09000026,5,2144,Redbridge,May
E09000027,5,1078,Richmond upon Thames,May
E09000028,5,3241,Southwark,May
E09000029,5,1213,Sutton,May
E09000030,5,3156,Tower Hamlets,May
E09000031,5,1984,Waltham Forest,May
E09000032,5,2174,Wandsworth,May
E09000033,5,6216,Westminster,May
E09000002,6,1818,Barking and Dagenham,June
E09000003,6,2307,Barnet,June
E09000004,6,1396,Bexley,June
E09000005,6,2596,Brent,June
E09000006,6,1932,Bromley,June
E09000007,6,2906,Camden,June
E09000008,6,2994,Croydon,June
E09000009,6,2583,Ealing,June
E09000010,6,2711,Enfield,June
E09000011,6,2516,Greenwich,June
E09000012,6,2792,Hackney,June
E09000013,6,1800,Hammersmith and Fulham,June
E09000014,6,2465,Haringey,June
E09000015,6,1380,Harrow,June
E09000016,6,1723,Havering,June
E09000017,6,1973,Hillingdon,June
E09000018,6,2113,Hounslow,June
E09000019,6,2263,Islington,June
E09000020,6,1736,Kensington and Chelsea,June
E09000021,6,1033,Kingston upon Thames,June
E09000022,6,2990,Lambeth,June
E09000023,6,2385,Lewisham,June
E09000024,6,1257,Merton,June
E09000025,6,3003,Newham,June
E09000026,6,2158,Redbridge,June
